在交流电路中，电阻 50 Ω、电感 0.3 H、电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电路中的容抗。,316 欧姆,195 欧姆,124 欧姆,212 欧姆,D
在交流电路中，电阻 50 Ω、电感 0.3 H、电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电路中的阻抗。,110 欧姆,100 欧姆,125 欧姆,140 欧姆,C
在交流电路中，电阻 50 Ω、电感 0.3 H、电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电路中的电流。,0.01 A,0.2 A,0.02 A,0.002 A,B
在交流电路中，将电阻 50 Ω、电感 0.3 H 和电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电流和电压之间的相位差。,670,540,470,770,A
流过电阻的直流电必须达到多少值才能产生与峰值为 3.5 A 的交流电相同的加热功率？,1.5 A,2.5 A,3.5 A,4.5 A,B
如果串联 RLC 电路中的谐振频率为 50kHz，带宽为 1kHz，请找出品质因数。,5,50,100,500,B
品质因数的SI单位是什么？,Hz,kHz,MHz,无单位,D
当带宽增加时，品质因数会发生什么变化？,增加,减少,保持不变,变为零,B
当谐振频率增加时，品质因数会发生什么变化？,增加,减少,保持不变,变为零,A
共振频率发生在下列情况（）。,XL=XC,XL>XC,XL<XC,无法确定,A
串联 RLC 电路中电流超前电源电压的频率为（）谐振频率。,高于,低于,等于,无法确定,B
串联RLC电路在谐振条件下的功率因数是多少？,0,1,无穷大,100,B
在串联 RLC 电路中，电流滞后于电源电压，其频率为（）谐振频率。,高于,低于,等于,无法确定,A
品质因数的正确公式是什么？,Q=BW*fr,Q=BW/fr,Q=fr/BW,Q=fr2,C
品质因数也称为（）。,电压放大倍数,电流放大倍数,电阻放大倍数,阻抗放大倍数,A
在谐振条件下，电容器和电感器两端的电压是（）源电压。,大于,小于,等于,远小于,A
当电源电压为 100V、Q 因数为 10 时，电容器两端的电压是多少？,100V,10V,1000V,0V,C
求电容两端电压为 1000V、电源电压为 100V 时的 Q 因数。,10,20,30,40,A
求出电容器两端电压为 1000V、Q 因数为 10 时的源电压。,10V,200V,100V,90V,C
当电源电压为 200V、Q 因数为 10 时，电感两端的电压是多少？,100V,20V,2000V,0V,C
求出电感两端电压为 2000V、源电压为 100V 时的 Q 因数。,10,20,30,40,B
求出电感两端电压为 2000V、Q 因数为 20 时的源电压。,10V,200V,100V,90V,C
当 Q 因数增加时，电容器两端的电压会发生什么变化？,增加,减少,保持不变,变为零,A
当 Q 因数降低时，电感两端的电压会发生什么变化？,增加,减少,保持不变,变为零,B
电容器中存储的能量具有（）性质。,静电,磁性,既非静电也非磁性,静电或磁性,A
电感器中储存的能量具有（）性质。,静电,磁性,既非静电也非磁性,静电或磁性,B
谐振时，电路出现（）。,感性,容性,感性或容性,阻性,D
谐振时，电容能量是（）感应能量。,大于,小于,等于,取决于电路,C
共振时，静电能（）磁能。,大于,小于,等于,取决于电路,C
在任何情况下，电感器中存储的最大磁能是？,E=LIm2/2,E=LIm/2,E=LIm2,E=LIm2*2,A
任何情况下电容器中存储的最大静电能量是？,CVm2,1/2*CVm2,CVm,CVm/2,B
Q 的比率是？,有功功率转无功功率,无功功率转有功功率,无功功率转平均功率,无功功率转电容功率,C
如果无功功率为 10W，平均功率为 5W，求 Q 值。,10,5,2,1,C
求平均功率为5W、Q=2时的无功功率。,10W,5W,2W,1W,A
带宽的SI单位是？,Hz,瓦特,kHz,kW,A
在带宽频率范围内，电流I的值为？,I=Im/2,I=Im2,I=Im,I=Im/√2,D
在带宽频率范围内，电压V的值为？,V=Vm/2,V=Vm2,V=Vm,V=Vm/√2,D
谐振时，带宽包括允许最大电流的（）% 流动的频率范围。,33.33,66.67,50,70.7,D
谐振时，带宽包括允许最大电压的 （）% 流动的频率范围。,33.33,66.67,50,70.7,D
求出电流最大值为50时带宽范围内的电流值。,56.65A,35.36A,45.34A,78.76A,B
求电压最大值为100V时带宽范围内的电压值。   ,56.65 V,35.36 V,45.34 V,70.72 V,D
带宽是（）频率之差。,半功率,全功率,双功率,无功,A
对于尖锐的谐振，带宽为（）。,低,高,零,无穷大,A
电流在（）带宽频率处最大。,左端,中间,右端,所有端,B
谐振曲线的形状取决于（）？,Q 因子,电压,电流,电压或电流,A
如果电路具有（）峰值和（）带宽，则该电路被称为具有选择性。,钝的，窄的,尖锐的，窄的,尖锐的，宽的,钝的，宽的,B
选择电路的Q因数是多少？,非常低,非常高,零,无穷大,B
在选择性电路中，较高的 Q 因数（）峰值。,更尖锐,钝化,既不尖锐也不钝化,要么更尖锐要么钝化,A
Q 是（）,谐振,带宽,选择性,谐振或带宽的度量,C
在选择性电路中，谐振频率位于带宽频率范围的（）内。,开始,结束,中点,无法确定,C
为了获得高选择性，电阻必须是？,小,大,负,正,A
在串联 RLC 电路中，电容器两端电压与电阻两端电压之间的相位差为？,00,900,1800,3600,B
在串联 RLC 电路中，电感两端电压与电阻两端电压之间的相位差为？,00,900,1800,3600,B
在串联RLC电路中，电容器两端电压和电感两端电压之间的相位差是？,00,900,1800,3600,C
在串联RLC电路中，电阻两端的电压与电路中的电流之间的相位差是？,00,900,1800,3600,A
在串联RLC电路中，电容器两端的电压与电路中的电流之间的相位差是？,00,900,1800,3600,B
在串联RLC电路中，电感两端的电压与电路中的电流之间的相位差是？,00,900,1800,3600,B
电感器中的电流滞后于串联 RLC 电路（）谐振频率中的电压。,高于,低于,等于,取决于电路,A
电容器中的电流超前串联 RLC 电路中的电压（）谐振频率。,高于,低于,等于,取决于电路,B
电感器中的电流（）串联 RLC 电路中高于谐振频率的电压。,超前,滞后,等于,取决于电路,B
电容器中的电流（）串联 RLC 电路中低于谐振频率的电压。,超前,滞后,等于,取决于电路,A
在串联RLC电路中，电容器中的电流和电阻器中的电流之间的相位差是？,00,900,1800,3600,A
在串联RLC电路中，电感中的电流与电阻中的电流之间的相位差是？,00,900,1800,3600,A
在串联RLC电路中，电容器中的电流和电感器中的电流之间的相位差是？,00,900,1800,3600,A
在串联RLC电路中，电路中的电流与电阻两端的电压之间的相位差是？ ,00,900,1800,3600,A
在串联RLC电路中，电路中的电流与电容器两端的电压之间的相位差是？,00,900,1800,3600,B
（）谐振频率，电感中的电流滞后于串联 RLC 电路中的电压。,高于,低于,等于,取决于电路,A
（）谐振频率，电容器中的电流超前于串联 RLC 电路中的电压。,高于,低于,等于,取决于电路,B
在并联电路中，我们考虑（）而不是阻抗。,电阻,电容,电感,导纳,D
在并联电路中，我们考虑导纳而不是（）,电阻,电容,电感,阻抗,D
下列哪项是阻抗的正确表达方式？,Z=Y,Z=1/Y,Z=Y2,Z=1/Y2,B
下列哪项是表示导纳的正确表达方式？,Y=Z,Y=1/Z,Y=Z2,Y=1/Z2,B
导纳的单位是什么？,欧姆,亨利,法拉,欧姆-1,D
随着阻抗增加，导纳（）,增加,减少,保持不变,变为零,B
如果系统的阻抗为4欧姆，计算其导纳。,0.25 欧姆-1,4 欧姆-1,25 欧姆-1,0.4 欧姆-1,A
系统的导纳为10 ohm-1，计算其阻抗。,10 欧姆,0.1 欧姆,1 欧姆,1.1 欧姆,B
在具有任意数量阻抗的并联电路中，每个阻抗两端的电压是？,相等,均分,按比例划分,零,A
在并联电路中，每个阻抗中的电流是？,相等,不同,零,无穷大,B
通过110(66)kV及以上电压等级接入电网的光伏发电站应配备故障录波设备，该设备应具有足够的记录通道并能够记录( )的情况，并配备至电网调度机构的数据传输通道。 ,故障前5s到故障后60s,故障前10s到故障后60s,故障前5s到故障后120s,故障前10s到故障后120s,B
各配电柜上设备装设高度横向应整齐一致，避免在配电柜后装设继电器。各配电柜上信号继电器宜集中布置，安装水平高度应一致，其安装中心线离地面不宜低于( )。 ,700mm,600mm,500mm,400mm,B
在低压配电系统中，SELV特低电压回路的导体接地应采用下列选项中的( )。 ,不接地,接地,经低阻抗接地,经高阻抗接地,A
校验电气设备的动稳定性时，应采用安装处三相短路电流冲击值，当短路点附近所接电动机额定电流之和超过短路电流( )时，应计入电动机反馈电流的影响。 ,1%,3%,5%,7%,A
电力电子变流装置按变流种类可分为( )。 ,电动机、电源装置和控制装置3部分,汞弧整流器装置、普通晶闸管装置和新型自关断器件装置,母线供电装置、机组变流装置及电力电子变流装置3大类,整流装置、交流调压装置、变频装置3部分,D
当公共电网电压处于正常范围内时，通过220kV电压等级接入电网的光伏发电站应能够控制光伏发电站并网点电压在标称电压的( )范围内。 ,95%～105%,97%～107%,100%～105%,100%～110%,D
将三相感应电动机的转子电阻增大一倍，则电机的启动转矩( ) ,增大,减小,不变,无法判断,A
当光伏发电系统设计为不可逆并网方式时，应配置( )。 ,单相关口表,逆向功率保护设备,单相保护设备,频率、电压控制装置,B
卫星接收天线应正面朝( )，在接收方向上不应有建筑物等遮挡物。 ,东,西,南,北,C
100kW光伏电站正常运行情况下，有功功率变化速率应不超过( )。 ,5MW/min,10MW/min,15MW/min,20MW/min,B
在系统的初始运行条件、故障持续时间均完全相同的情况下，导致系统的暂态稳定性最差的是( ) ,单相接地短路,两相短路,三相短路,断相故障,A
油断路器内的变压器油的作用是( ) ,绝缘和防锈,绝缘和散热,绝缘和灭弧,绝缘和干燥,C
某电网110kV公共连接点处的最小短路容量为500MVA，该连接点的全部用户向该点注入的3次谐波电流分量(方均根值)不应超过( )。 ,6.4A,10A,15A,20A,A
火灾自动报警系统主电源的保护开关不应采用( )。 ,塑壳断路器,熔断器,剩余电流保护开关,微型断路器,C
用户冲击负荷引起的系统频率变动一般不得超过( )。 ,±0.5Hz,±0.4Hz,±0.3Hz,±0.2Hz,D
根据电力系统承受大扰动能力的安全稳定标准，发生( )故障时允许采取切机和切负荷等稳定控制措施。 ,任一发电机跳闸或失磁,直流输电线路单极,受端系统任一变压器故障退出运行,任一段母线,D
中性点不直接接地系统的输电线路的干扰计算应符合以下( )项规定。 ,考虑多条输电线路的合成干扰影响,对音频双线电话的干扰影响应按输电线路正常运行状态计算，同时应考虑输电线路基波和谐波电压的感应影响,对音频双线电话的干扰影响应按输电线路单相接地短路故障状态计算，同时应考虑输电线路基波和谐波电压的感应影响,对线-地电报回路的干扰影响应按输电线路单相接地短路故障状态计算，同时应考虑输电线路基波电流、电压的感应影响,C
当输电线路对电信线路感应产生的噪声计电动势或干扰电流超过允许值时，应根据具体情况进行全面技术经济比较，合理选用防护措施，以满足允许值的要求，下列( )项不是电信线路方面可选用的措施。 ,加装放电器,明线改电缆,改迁电信线路路径,有线通信改无线通信,A
电压互感器低压侧两相电压降为零、一相正常、一个线电压为零，则说明( ) ,低压侧两相熔断器熔断,低压侧一相熔丝断,高压侧一相熔丝断,高压侧两相熔丝断,A
无功功率不足的电力系统中，首先应采用的措施是( ) ,改变变压器的变比,采用无功补偿装置补偿无功的缺额,增加发电机的有功出力,调节发电机的励磁电流,B
送电线路在跨越标准轨距铁路、高速公路及一级公路时，对被跨越物距离计算，下列说法( )是正确的。 ,无论档距大小，最大弧垂应按导线温度70℃计算,无论档距大小，最大弧垂应按导线温度40℃计算,跨越档距小于300m，最大弧垂应按导线温度40℃计算,跨越档距超过300m，最大弧垂应按导线温度70℃计算,D
在三相对称中性点不直接接地的电力线一相短路接地故障，以及交流电气铁道接触网和其他不对称电力线正常运行状态下，人体碰触邻近通信导线时，由容性耦合引起的流经人体的电流允许值为( )。 ,10mA,12mA,18mA,15mA,D
为节省投资、减少工程量，除用户有特殊要求外，一般工程宜采用( )巡查方式。 ,在线式,离线式,在线与离线结合,以上均可,B
通过10～35kV电压等级并网的光伏发电站功率因数应能在( )范围内连续可调，有特殊要求时，可做适当调整以稳定电压水平。 ,超前0.95～滞后0.95,超前0.98～滞后0.98,超前0.95～滞后0.9,超前0.9～滞后0.9,B
光伏发电站调度管辖设备供电电源应采用不间断电源装置(UPS)或站内直流电源系统供电，在交流供电电源消失后，不间断电源装置带负荷运行时间应大于( )。 ,30min,40min,60min,120min,B
光伏电站无功电压控制系统响应时间应为( )。 ,≤5s,≤10s,≤20s,≤30s,B
关于事故备用容量的确定方法，下面( )是正确的。 ,担任系统事故备用的水电厂，应有专用的备用库容作保证,水电厂的空闲容量可为系统的事故备用,水电厂担任事故备用，在事故消除后的10天，应保证恢复水电厂所消落的备用库容,系统的事故备用容量可通过传统的百分率法确定或电力不足概率法(LOLP)确定,D
三级负荷对供电的要求是( )。 ,无特殊要求,由两路低压电源供电,由两路高压电源供电,由一回6kV及以上专用架空线供电,A
在采用需要系数法计算补偿电容器的容量时，如果补偿前的功率因数为0.8，补偿后的功率因数为0.9，总的有功计算负荷为750kW，则电容器补偿容量的计算值约为( )。 ,100kvar,150kvar,200kvar,300kvar,C
当采用( )类灯具时，灯具的外露可导电部分应可靠接地。 ,Ⅰ,Ⅱ,Ⅲ,Ⅳ,A
计算输电线路对邻近电信线路感应产生的磁危险影响，应考虑( )年电力系统发展的规划容量。 ,3～5,6～8,4～7,5～10,D
下列选项中，属于工业企业负荷计算常用方法的是( )。 ,利用系数法,逐点计算法,需用系数法,单位面积瓦特法,C
光伏发电站功率预测系统所有数据至少保存( )。 ,5年,8年,10年,12年,C
客房设置火灾应急广播专用扬声器时，其功率不宜小于( )。 ,0.5W,0.8W,1W,1.2W,C
民用建筑内扬声器设置在走道和大厅等公共场所，扬声器数量应能保证从一个防火分区内的任何部位到最近一个扬声器的距离不大于( )。 ,50m,40m,35m,25m,D
某变电站有一组双星形接线的35kV电容器组，每星的每相有2个串联段，每段由5台1000kvar电容器并联组成，此电容器组的总容量为( )。 ,15000kvar,20000kvar,30000kvar,60000kvar,D
装机容量( )及以上的光伏发电站应配置光伏发电功率预测系统。 ,10MW,20MW,50MW,100MW,A
潮流计算常用的方法是( ) ,解析法,迭代法和牛顿法,积分法,差分法,B
空调机房、冷冻机房、变电站等监控点集中的机房，宜设楼宇自控系统线槽，为抗干扰，此线槽应采用双格金属线槽，信号线和( )控制线分开敷设。 ,110V,220V,380V,460V,B
某750kV架空输电线路采用钢芯铝包钢绞线，档距为1100m，跨越通航河流，验算导线允许载流量时，允许温度宜取( )。 ,70℃,80℃,90℃,100℃,D
